"name","screen_name","text","polarity","subjectivity","label"
"From Truth: Unity","e_veritas_unum","#Demonetization strikes again. This is a #CallToAction for @JohnCanales3 aka Mouthy Buddha. He needs our help! https://t.co/MCu0ddaAhv","0.00","0.00","NEGATIVE"
"ब्रो.","TheOfficialBhai","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Steel 360 Magazine","360Steel","Demonetization Impact was Short-lived: Tata Sponge MD https://t.co/yuVtv2Pwj8","0.00","0.00","NEGATIVE"
"Wayfarer","myselfpradeep_","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"H.","Miister_H","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"🌹🇺🇸K.J. Pritchard","KJPritchard4","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Sanjeev Shrivastav","sanjeevkumar11","Demonetization should be considered just as a beginning of fight against corruption in India.... @narendramodi @PMOIndia","0.00","0.00","NEGATIVE"
"Dilawar","TheShaikh_","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Vedant Sharma","vedants820","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Shehnaz Baloch","W0rldHistory","@sameer_polonium @Harsh02251420 @misssoniaahmed @sardarsikh1 @shribuddha Collapse of small-medium business due to demonetization. Wah 😄","-0.13","0.38","NEGATIVE"
"RK Nayak","RKparadox","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Priyal Kamli","priyalkamli1394","If you think India is poor, try demonetization once in your country. #Snapchat 
@evanspiegel","-0.40","0.60","NEGATIVE"
"Priyal Kamli","priyalkamli1394","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Wahab Butt","wahabtariqbutt","RT @lamboomishra: but Babaji had told us that demonetization has stopped terrorism and stone pelting...phir why  ""Sinking Valley"" ? woh bhi…","0.00","0.00","NEGATIVE"
"सत्िचत🇮🇳","iSatchit","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Asmeet Collection","asmeetfav","Implementation Guide on Auditor’s Report in CARO containing reporting on demonetization period transactions an d S… https://t.co/L92jwWN4bs","0.00","0.00","NEGATIVE"
"Bishal","_Bishal20_","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Suhana","suhanabhavishya","RT @bjpsamvad: India exports grow fastest in 5 years in 2016-17, despite demonetization
#TrustBJP https://t.co/PK9qO92K4N","0.00","0.00","NEGATIVE"
"☆ r i a ñ a ☆","dinyrose31","RT @RAJUPAUNIKAR: DEMONETIZATION https://t.co/sKXxxSRiXN","0.00","0.00","NEGATIVE"
"Ek Aur Cynic","EkAurCynic","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Shehnaz Baloch","W0rldHistory","@sameer_polonium @Harsh02251420 @misssoniaahmed @sardarsikh1 @shribuddha Yes Endians with demonetization, 200 deaths, know economics better","0.50","0.50","POSITIVE"
"@Krishnam39","Krishnam39","RT @Janamejayan: Demonetization was the biggest reward &amp; purchase of money bags who cheated on bank loans! Lakhs of crores involved.","0.00","0.00","NEGATIVE"
"Idiot'story","TheIdiotstory","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Asmeet Shah","asmeetshah","Implementation Guide on Auditor’s Report in CARO containing reporting on demonetization period transactions an d SBN https://t.co/0XmNrhefmS","0.00","0.00","NEGATIVE"
"Gaurav Jain","gauravcam","How Demonetization Affected Travelers From Around The World https://t.co/dbuSSTfWTo #lifehacks","0.00","0.00","NEGATIVE"
"KRUTIK","KRUTIK126","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Abhishek Pal","EndOfAbhishek","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Rohan K.P","definitwa1708","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Kaushik","KaushikPandya48","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Amitabh Poddar","AmitabhPoddar1","RT @bjpsamvad: India exports grow fastest in 5 years in 2016-17, despite demonetization
#TrustBJP https://t.co/PK9qO92K4N","0.00","0.00","NEGATIVE"
"चंड अशोक","MKankunj","RT @sanjeetbisht: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Ricky Lee","Rickylee170","YouTube demonetization: Young Turks maintains silence and more people ar... https://t.co/JCwfJ7bhz8","0.30","0.45","POSITIVE"
"Er. Satya✒","NaMo_Satya","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"CA Pawan Shetty","CA_Pawan_Shetty","@Vidyut .demonetization shud be carried periodically to discourage cash hoardings. Of course not in way last time carried out.","0.00","0.07","NEGATIVE"
"CA Pawan Shetty","CA_Pawan_Shetty","@Vidyut .. On ur question of cashless &amp; demonetization. I am a CA and I know ground realities. Just have a casual chat with ur CA.","-0.50","0.87","NEGATIVE"
"👑Kanika👑","Crazykanika","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Amit Jain","amsrjn","Reason why most Govts do nothing:- After all that is being done like GST, demonetization, agri, power, rlws, this i… https://t.co/kSSaUc8BUG","0.50","0.50","POSITIVE"
